,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Connecticut,AAC,,38,0,88.1,48.3,39.71,,12.62,,29,23.33,52.33,101.01,22.42,78.59
2,Baylor,Big 12,,36,2,77.7,53.6,24.11,,11.66,,19.22,16.55,35.77,83.47,28.5,54.97
3,Maryland,Big Ten,,31,4,83.2,60.3,22.86,,10.84,,21.66,12.04,33.7,86.78,35.57,51.21
4,Notre Dame,ACC,,33,2,80,61.3,18.77,,14.19,,22.37,10.59,32.96,87.27,36.77,50.51
5,South Carolina,SEC,,33,2,73.6,55.7,17.91,,13.37,,15.77,15.52,31.29,82.95,33.02,49.93
6,Oregon State,Pac-12,,32,5,66.9,51.9,14.95,,14.82,,7.85,21.91,29.76,76.6,29.56,47.04
7,Stanford,Pac-12,,27,8,68.8,56,12.83,,14.66,,11.81,15.68,27.49,79.15,35.63,43.52
8,Ohio State,Big Ten,,26,8,86,74.6,11.47,,15.63,,27.93,-0.83,27.1,86.82,45.21,41.62
9,Texas,Big 12,,31,5,71.1,56.4,14.69,,12.4,,13.47,13.62,27.09,75.47,31.97,43.5
10,Florida State,ACC,,25,8,73.5,57.5,15.97,,11.04,,15.04,11.97,27.01,78.56,34.77,43.78
11,Kentucky,SEC,,25,8,74.7,60.6,14.09,,12.15,,16.47,9.77,26.24,78.1,36.56,41.54
12,DePaul,Big East,,27,9,80.9,65.5,15.44,,10.55,,21.68,4.32,25.99,85.59,45.4,40.19
13,UCLA,Pac-12,,26,9,73.8,64,9.83,,15.53,,16.67,8.69,25.36,75.61,35.61,40
14,Syracuse,ACC,,30,8,72.5,60.1,12.37,,12.67,,15.24,9.8,25.04,74.91,35.09,39.83
15,Michigan State,Big Ten,,25,9,75.9,64.4,11.47,,13.26,,15.08,9.65,24.73,76.48,37.53,38.95
16,Louisville,ACC,,26,8,72.2,59.4,12.74,,10.83,,13.29,10.28,23.57,80.11,41.03,39.08
17,South Florida,AAC,,24,10,72.7,62,10.68,,12.43,,14.4,8.71,23.11,77.74,40.74,37.01
18,Arizona State,Pac-12,,26,7,63.9,54.9,9.03,,14.05,,6.07,17.01,23.08,73.79,35.46,38.33
19,Washington,Pac-12,,26,11,71.4,63.2,8.19,,14.56,,14.35,8.39,22.74,77.32,41.47,35.85
20,Mississippi State,SEC,,28,8,69.2,55.9,13.28,,8.89,,10.39,11.78,22.17,70.41,35.54,34.87
21,Texas A&M,SEC,,22,10,70.4,61.5,8.91,,13.05,,12.49,9.46,21.95,75.17,38.45,36.72
22,West Virginia,Big 12,,25,10,70.6,58.7,11.89,,9.96,,9.99,11.85,21.84,73.63,37.36,36.27
23,Tennessee,SEC,,22,14,65.6,59,6.58,,15.24,,10.16,11.67,21.83,72.83,36.66,36.18
24,Oklahoma,Big 12,,22,11,69.6,61.9,7.67,,13.11,,12.31,8.47,20.78,72.01,37.59,34.42
25,Miami (FL),ACC,,24,9,70.7,60.7,10.03,,9.68,,10.87,8.84,19.71,72.47,39.18,33.29
26,Georgia,SEC,,21,10,63.9,54.1,9.81,,9.51,,4.22,15.1,19.32,67.4,33.77,33.63
27,Duke,ACC,,20,12,68.4,59,9.41,,9.73,,8.24,10.89,19.13,70.5,38.54,31.96
28,Michigan,Big Ten,,21,14,78.6,70.5,8.09,,10.74,,17.57,1.26,18.82,81.41,50.68,30.73
29,Florida,SEC,,22,9,77.4,69,8.32,,10.35,,19.23,-0.53,18.7,67.79,39.89,27.9
30,Southern California,Pac-12,,19,13,66.6,58.8,7.78,,12.1,,8.62,9.94,18.55,68.83,39.02,29.81
31,Purdue,Big Ten,,20,12,67.3,61.5,5.81,,12.5,,7.35,10.96,18.31,70.2,39.29,30.91
32,Missouri,SEC,,22,10,68,58.4,9.56,,8.37,,7.38,10.55,17.93,71.72,40.67,31.05
33,Oregon,Pac-12,,24,11,72.7,64.1,8.63,,9.15,,12.48,5.3,17.78,78.42,49.1,29.32
34,Princeton,Ivy,,23,6,75.6,58.3,17.31,,0.15,,11.03,6.43,17.46,74.7,44.79,29.91
35,Oklahoma State,Big 12,,21,10,65.1,58.1,7,,10.13,,5.37,11.76,17.13,65.17,36.13,29.04
36,Rutgers,Big Ten,,19,15,62.3,59.9,2.38,,14.27,,1.94,14.72,16.65,67.08,39.27,27.82
37,Green Bay,Horizon,,28,5,66.2,52.2,14,,2.44,,1.13,15.31,16.44,69.24,39.07,30.17
38,Indiana,Big Ten,,21,12,71.5,68,3.58,,12.63,,11.04,5.17,16.21,73.3,45.41,27.89
39,Northwestern,Big Ten,,18,17,74.6,70,4.57,,11.15,,11.66,4.06,15.72,69.05,42.14,26.91
40,California,Pac-12,,15,17,67.6,66.5,1.09,,14.48,,9.29,6.29,15.58,70.17,44.18,25.99
