,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,MOV,SOS,SOS,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,NRtg
1,Stanford,Pac-12,,31,2,77.7,53.7,24,36.44,18.26,14.43,22.31,19.95,42.26,98.21,36.4,61.81,68.2
2,Connecticut,Big East,,28,2,81.9,52.6,29.3,27.45,9.57,21.97,19.53,19.35,38.87,97.46,41.66,55.8,68.14
3,Baylor,Big 12,,28,3,81.9,55.3,26.58,27.78,11.74,20.85,20.82,17.5,38.32,91.22,36.8,54.42,63.68
4,Maryland,Big Ten,,26,3,90.8,69,21.79,28.15,14.54,19.58,29.39,6.95,36.34,107.07,54.98,52.09,63.19
5,South Carolina,SEC,,26,5,75.4,58.1,17.29,33.89,17.55,13.55,16.83,18.01,34.84,88.76,37.81,50.95,58.67
6,UCLA,Pac-12,,17,6,71.4,58.3,13.13,19.66,18.84,19.11,16.72,15.25,31.97,89.89,42.45,47.44,50.31
7,Oregon,Pac-12,,15,9,70.9,59.6,11.29,14.36,19.72,20.05,15.05,15.96,31.01,89.16,44.06,45.1,45.57
8,Arizona,Pac-12,,21,6,66.3,55.3,11.07,19.12,19.88,15.13,11.59,19.37,30.95,83,36.62,46.38,45.05
9,Indiana,Big Ten,,21,6,74.4,59.9,14.52,17.26,15.64,16.84,13.86,16.3,30.16,89.39,44.62,44.77,42.43
10,Louisville,ACC,,26,4,76.8,60.7,16.07,17.68,13.25,14.78,16.47,12.85,29.32,93.91,49.97,43.94,43.25
11,NC State,ACC,,22,3,77.2,62.1,15.08,18.61,12.71,13.09,16.53,11.26,27.79,92.05,49.73,42.32,42.4
12,Michigan,Big Ten,,16,6,75.3,64.9,10.45,19.89,16.75,11.73,15.88,11.33,27.21,92.1,52.09,40.01,42.17
13,Rutgers,Big Ten,,14,5,75.1,57.7,17.37,17.91,9.34,13.52,11.88,14.83,26.7,93.95,53.12,40.83,41.68
14,Ohio State,Big Ten,,13,7,80.2,70.1,10.15,14.94,15.34,16.29,19.3,6.19,25.49,90.28,53.37,36.91,40.18
15,Iowa,Big Ten,,20,10,86.1,80.3,5.8,13.94,18.51,17.25,27.18,-2.88,24.31,103.03,67.1,35.92,42.32
16,Georgia,SEC,,21,7,71.3,60.5,10.82,15.3,13.27,15.84,11.51,12.58,24.09,79.47,42.78,36.69,43.16
17,Oregon State,Pac-12,,12,8,71.3,68.1,3.2,11,22.35,19.88,16.43,7.5,23.93,84.41,50.38,34.03,41.27
18,Tennessee,SEC,,17,8,71.9,62.5,9.36,15.97,14.44,14.91,12.95,10.84,23.8,83.85,47.26,36.59,41
19,Texas A&M,SEC,,25,3,75.2,62.6,12.61,15.58,11.1,13.87,13.35,10.36,23.7,84.74,47.77,36.96,39.13
20,Northwestern,Big Ten,,16,9,67.4,61.1,6.24,11.94,17.05,16.36,7.54,15.75,23.29,82.23,47.47,34.77,36.74
21,Oklahoma State,Big 12,,19,9,71,62.3,8.79,13.06,14.13,15.14,10.19,12.73,22.92,80.75,45.46,35.29,36.81
22,Texas,Big 12,,21,10,68.9,62.6,6.26,6.8,16.33,20.36,8.58,14.01,22.58,80.94,46.66,34.28,35.33
23,Iowa State,Big 12,,17,11,77,71.4,5.57,5.5,16.97,21.27,17.83,4.71,22.54,90.71,56.71,34,36.22
24,West Virginia,Big 12,,22,7,72.3,66,6.31,11.34,15.49,15.32,11.96,9.84,21.8,84.23,50.88,33.35,36.12
25,Kentucky,SEC,,18,9,73,66.4,6.52,9.63,14.61,16.46,12.23,8.9,21.13,86.68,53.65,33.03,34.36
26,Arkansas,SEC,,19,9,82.3,73.8,8.54,9.36,12.48,16.43,22.18,-1.17,21.01,91.57,59.46,32.11,35.66
27,Michigan State,Big Ten,,15,9,75.2,68.8,6.42,8.43,14.32,17.02,12.97,7.76,20.74,87.48,56.3,31.18,34.81
28,Washington State,Pac-12,,12,12,63.2,63.4,-0.21,8.75,20.6,16.66,8.24,12.16,20.39,79.48,48.23,31.25,33.93
29,Gonzaga,WCC,,23,4,71,55.2,15.78,16.85,4.46,10.12,7.64,12.6,20.24,82.54,48.92,33.61,33.28
30,Georgia Tech,ACC,,17,9,65.6,61.6,4.04,10.44,16.14,14.19,6.51,13.67,20.18,84.3,52.34,31.95,32.92
31,Missouri State,MVC,,23,3,70.2,57.2,13.04,14.41,8.64,9.35,8.01,11.71,19.72,77.47,47.66,29.81,31.86
32,Virginia Tech,ACC,,15,10,72,66,6.04,10.26,13.4,13.36,12.1,7.34,19.44,85.36,55.42,29.95,31.92
33,Colorado,Pac-12,,12,11,64.7,61.2,3.48,11.44,15.96,11.9,7.18,11.19,18.37,74.4,47.33,27.07,31.06
34,North Carolina,ACC,,13,11,74.7,67.3,7.38,11.65,10.45,11.59,13.21,4.62,17.82,83.07,55.16,27.92,30.81
35,Syracuse,ACC,,15,9,71.9,68.1,3.83,9.94,15.93,11.38,12.26,5.45,17.72,79.81,53.93,25.87,28.74
36,South Florida,AAC,,19,4,65.4,55.4,10,10,7.67,10.97,5.16,12.51,17.67,80.14,50.89,29.25,28.92
37,Stephen F. Austin,Southland,,24,3,80.2,51,29.19,10.94,-9.9,9.22,10.69,6.89,17.59,72.1,45.93,26.18,26.12
38,Alabama,SEC,,17,10,74.6,71.2,3.41,7.71,13.55,12.25,13.84,3.12,16.96,88.86,61.05,27.81,26.12
39,Mississippi,SEC,,15,12,69.6,62.7,6.81,9.06,10.02,10.88,7.83,9,16.84,75.69,48.91,26.78,25.87
40,Marquette,Big East,,19,7,70.5,61.7,8.77,6.65,8.03,13.1,9.24,7.56,16.8,83.6,57.74,25.86,26.36
41,Nebraska,Big Ten,,13,13,69.6,70.1,-0.46,6.45,16.52,13.06,9.46,6.52,15.98,85.08,60.19,24.89,25.09
42,Missouri,SEC,,9,13,73.1,69.5,3.68,8.61,12.29,10.06,11.48,4.49,15.97,84.35,59.32,25.03,25.62
43,South Dakota,Summit,,19,6,74.2,59.3,14.88,7.29,2.34,11.11,6.85,8.9,15.75,77.93,52.07,25.86,25.5
44,Mississippi State,SEC,,10,9,72.4,67.6,4.84,5.94,10.85,11.74,11.51,4.18,15.69,80.4,55.39,25.01,23.55
45,Florida State,ACC,,10,9,65.3,65.8,-0.53,12.89,15.91,4.63,6.44,8.95,15.39,77.56,53.65,23.91,23.71
46,UCF,AAC,,16,5,57.7,50.5,7.24,6.69,8.03,12.35,-2.37,17.64,15.27,71.76,45.66,26.1,23.29
47,Brigham Young,WCC,,19,6,68.4,59.2,9.2,13.06,5.98,3.75,5.53,9.65,15.18,76.04,51.32,24.72,22.68
48,Notre Dame,ACC,,10,10,70,70.5,-0.5,12.65,15.41,4.15,10.49,4.42,14.91,83.08,59.11,23.97,23.6
49,Wake Forest,ACC,,12,13,66.4,68.5,-2.08,2.38,16.78,14.35,7.29,7.41,14.7,82.36,58.87,23.5,22.01
